,_id,category_code,country_code,founded_year,geoloc,latitude,longitude,name,number_of_employees,total_money_raised,total_offices,nearest_offices,ranking
146,5d277baf5370f8e6fc94d92c,web,USA,2007,"{'type': 'Point', 'coordinates': [-122.4013624, 37.7893215]}",37.7893215,-122.4013624,Huddler,52,$22.8M,1,13,6.5
194,5d277baf5370f8e6fc94d95c,software,USA,2007,"{'type': 'Point', 'coordinates': [-84.3675617, 33.7812614]}",33.7812614,-84.3675617,Vocalocity,175,$17.1M,1,12,6.0
45,5d277baf5370f8e6fc94d8c7,biotech,USA,2006,"{'type': 'Point', 'coordinates': [-95.712891, 37.09024]}",37.09024,-95.712891,23andMe,80,$161M,1,12,6.0
162,5d277baf5370f8e6fc94d93c,advertising,USA,2007,"{'type': 'Point', 'coordinates': [-111.9396, 33.426418]}",33.426418,-111.9396,FetchBack,100,$1M,1,12,6.0
23,5d277baf5370f8e6fc94d8b1,network_hosting,USA,2004,"{'type': 'Point', 'coordinates': [-121.935688, 37.288974]}",37.288974,-121.935688,Hightail,200,$82.7M,1,12,6.0
119,5d277baf5370f8e6fc94d911,advertising,BGD,2008,"{'type': 'Point', 'coordinates': [90.407143, 23.709921]}",23.709921,90.407143,NewsCred,70,$21.8M,2,12,6.0
238,5d277baf5370f8e6fc94d988,web,USA,2008,"{'type': 'Point', 'coordinates': [-73.9900984, 40.7450497]}",40.7450497,-73.9900984,StyleCaster,60,$5M,1,12,6.0
113,5d277baf5370f8e6fc94d90b,advertising,USA,2006,"{'type': 'Point', 'coordinates': [-122.424975, 37.629393]}",37.629393,-122.424975,Adify,120,$27M,1,11,5.5
8,5d277baf5370f8e6fc94d8a2,network_hosting,USA,2006,"{'type': 'Point', 'coordinates': [-71.076869, 42.350571]}",42.350571,-71.076869,Carbonite,68,$66M,1,11,5.5
1,5d277baf5370f8e6fc94d89b,search,USA,2004,"{'type': 'Point', 'coordinates': [-122.402195, 37.786183]}",37.786183,-122.402195,Yelp,800,$90M,1,10,5.0
16,5d277baf5370f8e6fc94d8aa,software,USA,2006,"{'type': 'Point', 'coordinates': [-121.8731805, 37.6637279]}",37.6637279,-121.8731805,spigit,120,$55.6M,3,10,5.0
111,5d277baf5370f8e6fc94d909,software,USA,2008,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}",37.775196,-122.419204,GitHub,106,$100M,1,10,5.0
183,5d277baf5370f8e6fc94d951,mobile,USA,2004,"{'type': 'Point', 'coordinates': [-122.493561, 37.862592]}",37.862592,-122.493561,mFoundry,160,$40.3M,1,10,5.0
208,5d277baf5370f8e6fc94d96a,software,USA,2007,"{'type': 'Point', 'coordinates': [-122.68038, 45.5309644]}",45.5309644,-122.68038,Jama Software,103,$13M,1,8,4.0
170,5d277baf5370f8e6fc94d944,web,USA,2008,"{'type': 'Point', 'coordinates': [-122.3999719, 37.7870923]}",37.7870923,-122.3999719,Lolapps,65,$4M,2,7,3.5
202,5d277baf5370f8e6fc94d964,enterprise,USA,2009,"{'type': 'Point', 'coordinates': [-78.8267112, 35.8535092]}",35.8535092,-78.8267112,Talari Networks,60,$45.1M,2,7,3.5
159,5d277baf5370f8e6fc94d939,advertising,GBR,2006,"{'type': 'Point', 'coordinates': [-0.1230127, 51.5139758]}",51.5139758,-0.1230127,Intela,70,$13.3M,4,7,3.5
174,5d277baf5370f8e6fc94d948,software,USA,2005,"{'type': 'Point', 'coordinates': [-73.8625452, 41.0662835]}",41.0662835,-73.8625452,Open-Xchange,100,$37.8M,3,7,3.5
58,5d277baf5370f8e6fc94d8d4,advertising,USA,2005,"{'type': 'Point', 'coordinates': [-73.9918126, 40.742459]}",40.742459,-73.9918126,Yodle,1000,$40M,5,7,3.5
158,5d277baf5370f8e6fc94d938,software,USA,2007,"{'type': 'Point', 'coordinates': [-122.4007846, 37.7899027]}",37.7899027,-122.4007846,Lyft,180,$82.5M,2,7,3.5
66,5d277baf5370f8e6fc94d8dc,enterprise,USA,2007,"{'type': 'Point', 'coordinates': [-71.137784, 42.524527]}",42.524527,-71.137784,Acquia,400,$68.5M,1,6,3.0
84,5d277baf5370f8e6fc94d8ee,design,USA,2008,"{'type': 'Point', 'coordinates': [-122.4005983, 37.7955307]}",37.7955307,-122.4005983,99designs,100,$35M,3,6,3.0
237,5d277baf5370f8e6fc94d987,enterprise,USA,2007,"{'type': 'Point', 'coordinates': [-71.421059, 41.829229]}",41.829229,-71.421059,GreenBytes,54,$35M,1,6,3.0
14,5d277baf5370f8e6fc94d8a8,web,USA,2006,"{'type': 'Point', 'coordinates': [-122.406676, 37.766909]}",37.766909,-122.406676,Flixster,75,$7.18M,1,6,3.0
175,5d277baf5370f8e6fc94d949,software,DEU,2005,"{'type': 'Point', 'coordinates': [7.850863, 51.029415]}",51.029415,7.850863,Open-Xchange,100,$37.8M,3,6,3.0
192,5d277baf5370f8e6fc94d95a,enterprise,USA,2005,"{'type': 'Point', 'coordinates': [-77.340436, 38.946532]}",38.946532,-77.340436,Clarabridge,150,$84.3M,3,6,3.0
197,5d277baf5370f8e6fc94d95f,software,USA,2003,"{'type': 'Point', 'coordinates': [-122.0887097, 37.4192309]}",37.4192309,-122.0887097,Adaptive Planning,65,$84.5M,1,6,3.0
167,5d277baf5370f8e6fc94d941,enterprise,USA,2004,"{'type': 'Point', 'coordinates': [-121.967223, 37.369445]}",37.369445,-121.967223,Apigee,65,$107M,1,6,3.0
92,5d277baf5370f8e6fc94d8f6,web,USA,2007,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}",37.775196,-122.419204,Clickpass,90,$20k,1,6,3.0
55,5d277baf5370f8e6fc94d8d1,web,USA,2005,"{'type': 'Point', 'coordinates': [-121.97895, 37.399208]}",37.399208,-121.97895,Vobile,120,$10M,1,5,2.5
